prompt,completion
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 d5 2.Nf3 Nf6 3.Bf4 c5 4.e3 Nc6 5.Be2 Nh5 6.Be5 f6 7.c4 e6 8.cxd5 exd5 9.Bg3 Nxg3 10.hxg3 c4 11.a3 Be6 12.Nc3 Qd7 13.b3 cxb3 14.Qxb3 Rc8 15.Qb2 Be7 16.Bd3 Kf7 17.Qb1 g6 18.Ne2 Kg7 19.Nf4 Bf7 20.O-O Na5 21.e4 dxe4 22.Bxe4 Bd6 23.d5 Bxf4 24.gxf4 Nc4 25.Rd1 Nd6 26.Ne5 Qe7 27.Nxf7 Kxf7 28.Bf3 Rhe8 29.Qb4 Rc4 30.Qd2 Qc7 31.a4 Qc5 32.Rac1 Re7 33.Rxc4 Qxc4 34.a5 Rc7 35.f5 Kg7 36.fxg6 hxg6 37.Qe3 Qc5 38.Qe6 Rf7 39.g3 Qc7 40.Kg2 Re7 41.Qh3 Qc8 42.Qxc8 Nxc8 43.d6 Rd7 44.Bxb7 Nxd6 45.a6 Kf8 46.Bc6 Rc7 47.Ba4 Ke7 48.Re1+ Kf7 49.Bb3+ Kf8 50.Re6 Ne8 51.Re3 Nd6 52.Bd1 Kf7 53.Bf3 Rc5 54.Rb3 Ra5 55.Be2 Ra2 56.Bd3 f5 57.Kf3 Kf6 58.Ke3 Ne4 59.Bxe4 fxe4 60.Rb5 Rxa6 61.Kxe4 Ra4+ 62.Kf3 g5 63.g4 Rf4+ 64.Kg3 Ra4 65.f3 Ra3 66.Kf2 Ra2+ 67.Kg3 Ra3 68.Kf2 Ra2+ 69.Kg3 Ra3 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Nc3 c5 5.cxd5 cxd4 6.Qxd4 exd5 7.e4 dxe4 8.Qxd8+ Kxd8 9.Ng5 Be6 10.a3 Nbd7 11.Nxe6+ fxe6 12.g3 Rc8 13.Bg2 Nc5 14.O-O Bd6 15.Rb1 Be5 16.b4 Nd3 17.Nxe4 Nxc1 18.Rfxc1 Rxc1+ 19.Rxc1 Nxe4 20.Bxe4 Bb2 21.Rb1 Bxa3 22.Rb3 Bc1 23.Bxb7 Ke7 24.b5 Rd8 25.Be4 h6 26.Kg2 Rd2 27.Rc3 Bb2 28.Rc7+ Rd7 29.Rc2 Bd4 30.f3 Bb6 31.Kh3 Rd4 32.Rb2 Kf6 33.Kg4 Rc4 34.h4 Rc5 35.Rb1 Ke7 36.Rb3 Kf6 37.Rb1 Ke7 38.Rb3 Kf6 39.Rb1 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.a4 Rb8 9.axb5 axb5 10.h3 d6 11.d3 Bd7 12.Nc3 Nb4 13.Ne2 c5 14.Ng3 Qc7 15.Bd2 Nc6 16.Bg5 h6 17.Bxf6 Bxf6 18.Nf1 Nd4 19.Nxd4 exd4 20.Bd5 c4 21.b3 Be6 22.Bxe6 fxe6 23.Nd2 c3 24.Nf3 Ra8 25.Qe2 e5 26.g3 Ra7 27.h4 Rfa8 28.Rxa7 Rxa7 29.Rd1 Ra2 30.Ne1 Qd7 31.Kg2 Kf7 32.Rb1 Ke7 33.Qd1 Qa7 34.Qg4 Kd8 35.Qe6 Qd7 36.Qg8+ Kc7 37.b4 Ra4 38.Nf3 Kb7 39.Qd5+ Qc6 40.Qf7+ Qc7 41.Qe6 Ra6 42.Nh2 Qc8 43.Qf7+ Qc7 44.Qe6 Qc8 45.Qf7+ Qc7 46.Qe6 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.c4 Nf6 2.Nc3 c5 3.Nf3 Nc6 4.d4 cxd4 5.Nxd4 e6 6.a3 Be7 7.e4 O-O 8.Nc2 b6 9.Be2 Bb7 10.O-O Qc7 11.Ne3 a6 12.f4 d6 13.b4 b5 14.cxb5 axb5 15.Bb2 Qb6 16.Qd3 Nd4 17.Bd1 e5 18.Kh1 Rac8 19.Ncd5 Nxd5 20.exd5 g6 21.Bb3 Nxb3 22.Qxb3 f6 23.Rad1 Rce8 24.h3 Bd8 25.Rd3 Qc7 26.fxe5 fxe5 27.Rdd1 Bg5 28.Ng4 Qc4 29.Qxc4 bxc4 30.Bc1 Bxc1 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.h3 Bb7 9.d3 d5 10.exd5 Nxd5 11.a4 Nd4 12.Nbd2 Nxb3 13.Nxb3 f6 14.Na5 Qc8 15.Bd2 Rd8 16.Qe2 c5 17.Qe4 Rb8 18.axb5 axb5 19.Nxb7 Qxb7 20.Nh4 Bf8 21.Nf5 Ne7 22.Nxe7+ Bxe7 23.Be3 Qxe4 24.dxe4 Ra8 25.Kf1 Kf7 26.Ke2 Ke6 27.b3 g6 28.f3 f5 29.Red1 f4 30.Bf2 Rxd1 31.Rxa8 Rc1 32.Ra6+ Kd7 33.Ra2 c4 34.bxc4 bxc4 35.Kd2 Rf1 36.Ke2 Rc1 37.Kd2 Rf1 38.Ke2 Rc1 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d3 d6 5.O-O Be7 6.c3 O-O 7.Re1 a6 8.Ba4 Re8 9.Nbd2 Bf8 10.Nf1 b5 11.Bb3 Na5 12.Bc2 c5 13.Bg5 h6 14.Bxf6 Qxf6 15.Ne3 Be6 16.Nd2 g6 17.a4 h5 18.axb5 axb5 19.Qe2 Bh6 20.Ra3 Bxe3 21.Qxe3 b4 22.Ra4 Nc6 23.Rea1 Rab8 24.Ra6 Rec8 25.Ba4 Nd8 26.Qe1 Qe7 27.Nf1 Ra8 28.Bb5 Rxa6 29.Bxa6 Ra8 30.Ne3 bxc3 31.bxc3 Qa7 32.Ra4 Qb6 33.Qa1 Nc6 34.h3 Ne7 35.Bc4 Rxa4 36.Qxa4 Bxc4 37.Qxc4 Kg7 38.g3 Ng8 39.Nd5 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e3 d5 2.c4 e6 3.Nf3 Nf6 4.b3 c5 5.Bb2 Nc6 6.cxd5 exd5 7.Bb5 Bd6 8.O-O O-O 9.Bxc6 bxc6 10.Nc3 Bg4 11.Ne2 Ne4 12.d3 Bxf3 13.gxf3 Qg5+ 14.Ng3 Nxg3 15.hxg3 Bxg3 16.fxg3 Qxg3+ 17.Kh1 Qh3+ 18.Kg1 Qg3+ 19.Kh1 Qh3+ 20.Kg1 Qg3+ 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.g3 cxd4 5.Nxd4 d5 6.Bg2 e5 7.Nf3 e4 8.Nd4 dxc4 9.Qa4+ Bd7 10.Qxc4 Na6 11.O-O Rc8 12.Qb3 Nc5 13.Qd1 Be7 14.Nc3 O-O 15.Be3 Ng4 16.Bf4 e3 17.Bxe3 Nxe3 18.fxe3 Bg5 19.Nf5 Bxf5 20.Rxf5 Bxe3+ 21.Kh1 g6 22.Rd5 Qf6 23.Rd6 Qe7 24.Qd5 Rfd8 25.Rd1 Rxd6 26.Qxd6 Qxd6 27.Rxd6 Bg5 28.Bf3 Be7 29.Rd1 Kg7 30.Nd5 Bf8 31.Rc1 Rd8 32.Kg2 Ne6 33.Nc7 Bd6 34.Nxe6+ fxe6 35.Bxb7 Rb8 36.Ba6 Rxb2 37.Bc4 Kf6 38.Kf3 a5 39.a4 h5 40.Bb5 Rb3+ 41.Kg2 Bb4 42.Rc7 Rc3 43.Ra7 Rc2 44.Ra6 g5 45.Ra7 h4 46.gxh4 gxh4 47.Rh7 Be1 48.Rh6+ Ke7 49.Rg6 Rc3 50.Bd3 Ra3 51.Rg4 Bb4 52.Rxh4 Rxa4 53.Re4 Kf6 54.h4 Ra1 55.h5 Bd2 56.Rg4 Be3 57.Kf3 Rg1 58.Ra4 Bh6 59.Rxa5 Rg5 60.Rxg5 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 c5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Nd4 5.e5 Nxb5 6.Nxb5 Nd5 7.Ng5 f6 8.Qf3 Nc7 9.exf6 exf6 10.Qh5+ g6 11.Qe2+ Ne6 12.Nxe6 dxe6 13.b3 Bd7 14.Bb2 Kf7 15.O-O-O a6 16.Nc3 Bc6 17.Ne4 Be7 18.Rhe1 Qd5 19.f3 h5 20.d4 cxd4 21.Rxd4 Qf5 22.Ng3 Qg5+ 23.Kb1 Qe5 24.Re4 Qb5 25.Qxb5 axb5 26.Rxe6 Rae8 27.h4 Bd8 28.Rxe8 Rxe8 29.Rxe8 Kxe8 30.Ne4 Bxe4 31.fxe4 f5 32.exf5 gxf5 33.c4 bxc4 34.bxc4 Bxh4 35.Kc2 Kd7 36.Kd3 Kc6 37.a4 Bg3 38.Bd4 Bd6 39.Bf2 Bc7 40.Be3 Bd6 41.Bf2 Bc7 42.Be3 Bd6 43.Bf2 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.Nf3 Nf6 2.b3 g6 3.Bb2 Bg7 4.g3 O-O 5.c4 d6 6.Bg2 e5 7.O-O c5 8.Nc3 Nc6 9.d3 Ne8 10.Nd2 Nc7 11.a3 a5 12.Nd5 Be6 13.e3 Rb8 14.Rb1 b5 15.cxb5 Bxd5 16.bxc6 Bxg2 17.Kxg2 Qe8 18.Nc4 Qxc6+ 19.e4 d5 20.Nxe5 Bxe5 21.Bxe5 dxe4 22.Bxc7 exd3+ 23.Kg1 Qxc7 24.Qxd3 Rfd8 25.Qc3 Rd4 26.Rbc1 Qb6 27.Qxc5 Qxc5 28.Rxc5 Rxb3 29.Rxa5 Rd2 30.a4 Ra2 31.Rb5 Rxb5 32.axb5 Rb2 33.b6 Rxb6 34.h4 h5 35.Kg2 Kg7 36.Re1 Kf6 37.Re3 Re6 38.Rf3+ Kg7 39.Rd3 Rf6 40.Re3 Rf5 41.Rd3 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 5.Re1 Nd6 6.Nxe5 Be7 7.Bf1 Nxe5 8.Rxe5 O-O 9.d4 Bf6 10.Re1 Nf5 11.c3 d5 12.Nd2 Re8 13.Nf3 Rxe1 14.Qxe1 Nd6 15.Bd3 Bf5 16.Bxf5 Nxf5 17.Bf4 Qd7 18.Ne5 Bxe5 19.Qxe5 c6 20.Re1 f6 21.Qe2 g5 22.Bg3 Ng7 23.Qf3 Qf5 24.Qxf5 Nxf5 25.f3 Kf7 26.Kf2 h5 27.h3 Re8 28.Rxe8 Kxe8 29.Bb8 a6 30.g4 Ng7 31.f4 hxg4 32.hxg4 gxf4 33.Bxf4 Kf7 34.Kf3 Kg6 35.Be3 Ne6 36.Bf4 b5 37.Be3 a5 38.Bf4 a4 39.Be3 Nc7 40.b3 axb3 41.axb3 Ne6 42.Ke2 Ng5 43.Bxg5 Kxg5 44.Kf3 b4 45.cxb4 f5 46.gxf5 Kxf5 47.b5 cxb5 48.b4 Kg5 49.Kg3 Kf5 50.Kf3 Kg5 51.Kg3 Kf5 52.Kf3 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.c4 e5 2.g3 Nf6 3.Bg2 d5 4.cxd5 Nxd5 5.Nf3 Nc6 6.O-O Nb6 7.b3 Be6 8.Nc3 Qd7 9.d4 exd4 10.Nb5 d3 11.Bb2 f6 12.Nbd4 Nxd4 13.Nxd4 Bd5 14.Bxd5 Qxd5 15.Qxd3 c5 16.Qb5+ Qd7 17.Qxd7+ Kxd7 18.Nf5 Ke6 19.e4 Rc8 20.Rac1 c4 21.Rfd1 g6 22.Nd4+ Kf7 23.Nb5 Be7 24.Nxa7 Ra8 25.Nb5 Rxa2 26.Bd4 Nc8 27.Rxc4 Rd8 28.Rc7 b6 29.Nc3 Rc2 30.Kg2 Ke8 31.Nd5 Rxc7 32.Nxc7+ Kf7 33.Nd5 f5 34.f3 Bc5 35.Bxc5 bxc5 36.Rc1 fxe4 37.fxe4 Nd6 38.Rxc5 Nxe4 39.Rc7+ Ke6 40.Nf4+ Kf6 41.Kf3 Nd2+ 42.Kg4 Nxb3 43.Rxh7 Nd4 44.Ra7 Rd6 45.Ra8 Nf5 46.Rf8+ Kg7 47.Ra8 Kf6 48.Ra2 Nh6+ 49.Kf3 g5 50.Ng2 Nf5 51.Ne1 Kg6 52.Kf2 Rf6 53.Ra4 Rb6 54.Nf3 Rb2+ 55.Kg1 Ne3 56.Re4 Rb1+ 57.Kf2 Nd1+ 58.Kg2 Rb2+ 59.Kg1 Rb3 60.Re6+ Kh5 61.Ne5 Ne3 62.h3 Rb2 63.Re8 Kh6 64.g4 Rg2+ 65.Kh1 Rg3 66.Rh8+ Kg7 67.Rh5 Kf6 68.Nd3 Nxg4 69.Nc5 Nf2+ 70.Kh2 Rxh3+ 71.Rxh3 Nxh3 72.Ne4+ Ke7 73.Nxg5 Nxg5 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 d6 5.O-O Qf6 6.c3 Nge7 7.b4 Bb6 8.a4 a6 9.Be3 Bxe3 10.fxe3 Qh6 11.Qe2 O-O 12.d4 g5 13.Nbd2 g4 14.Ne1 Kg7 15.Nd3 f5 16.exf5 Bxf5 17.d5 Bxd3 18.Qxd3 e4 19.Qxe4 Ne5 20.Be2 Nxd5 21.Qxd5 Qxe3+ 22.Kh1 Qxe2 23.Rfe1 Qf2 24.Ne4 Qf7 25.Qd4 Rae8 26.Ng3 Qg6 27.b5 h5 28.b6 cxb6 29.Ne4 Re6 30.Nxd6 Rxd6 31.Qxe5+ Kh7 32.Rad1 Rxd1 33.Rxd1 Rf7 34.Kg1 h4 35.Rf1 Rxf1+ 36.Kxf1 Qb1+ 37.Ke2 Qc2+ 38.Ke3 Qxg2 39.Qe7+ Kg6 40.Qe6+ Kg7 41.Qe7+ Kg6 42.Qe6+ Kg7 43.Qe7+ Kg6 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Bc5 6.c3 O-O 7.d4 Ba7 8.Re1 b5 9.Bc2 d6 10.h3 h6 11.Be3 Re8 12.Nbd2 Bb7 13.dxe5 Bxe3 14.exf6 Bxd2 15.Qxd2 Qxf6 16.a4 Ne5 17.Nxe5 Qxe5 18.f4 Qe7 19.e5 dxe5 20.Rxe5 Qf6 21.axb5 Rxe5 22.fxe5 Qb6+ 23.Qd4 Qxd4+ 24.cxd4 axb5 25.Rxa8+ Bxa8 26.b4 Bd5 27.g3 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.d3 d6 6.c3 g6 7.Bg5 Bg7 8.Nbd2 h6 9.Bh4 O-O 10.O-O b5 11.Bc2 Qe8 12.Re1 Nh5 13.Nf1 Nf4 14.Ne3 Bb7 15.a4 Nd8 16.d4 Nde6 17.b4 exd4 18.cxd4 a5 19.d5 Ng5 20.Nxg5 hxg5 21.Bxg5 Qe5 22.Qg4 Nh5 23.Rab1 Bc8 24.Nf5 bxa4 25.Qh4 Bxf5 26.exf5 Qd4 27.Qxd4 Bxd4 28.Re4 Bf6 29.Bxf6 Nxf6 30.Rc4 axb4 31.Rcxb4 Nxd5 32.Rc4 a3 33.fxg6 c5 34.gxf7+ Kxf7 35.Bb3 Kf6 36.Rd1 Rfb8 37.Ba2 Rb2 38.Rxd5 Rxa2 39.Rxd6+ Ke7 40.Rd1 Ra5 41.h4 Rb2 42.Re4+ Kf6 43.Rd6+ Kf7 44.Rd7+ Kf6 45.Rd6+ Kf7 46.Rd7+ Kf6 47.Rd6+ 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d3 d6 5.c3 a6 6.Ba4 g6 7.O-O Bg7 8.Re1 O-O 9.h3 Nb8 10.Nbd2 Nbd7 11.Bc2 b5 12.a4 Bb7 13.b4 c5 14.bxc5 Nxc5 15.axb5 axb5 16.Ba3 Re8 17.Qb1 Bc6 18.d4 exd4 19.cxd4 b4 20.Bb2 b3 21.dxc5 bxc2 22.Qxc2 dxc5 23.Ne5 Ba4 24.Rxa4 Rxa4 25.Qxa4 Qxd2 26.Qa1 Nh5 27.Bc3 Qc2 28.Qa7 Qb3 29.Qxc5 Nf4 30.Re3 Qd1+ 31.Re1 Qb3 32.Re3 Qd1+ 33.Re1 Qb3 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 d5 5.a3 Bxc3+ 6.Qxc3 Ne4 7.Qc2 c5 8.dxc5 Nc6 9.cxd5 exd5 10.e3 Bf5 11.Bd3 O-O 12.Nf3 Qa5+ 13.Nd2 Nxd2 14.Bxd2 Bxd3 15.Qxd3 Qxc5 16.Rc1 Qb6 17.O-O Rad8 18.f4 Rfe8 19.b4 h6 20.h3 a6 21.Rc5 a5 22.Rfc1 axb4 23.axb4 Re4 24.Kh2 Rc4 25.R1xc4 dxc4 26.Qe2 Nxb4 27.Rxc4 Nd3 28.Rd4 Rxd4 29.exd4 Qxd4 30.Qe8+ Kh7 31.Qxf7 Qe4 32.f5 Qe5+ 33.Kh1 Nf2+ 34.Kg1 Ne4 35.Bf4 Qd4+ 36.Kh2 Nf6 37.Bxh6 Qe5+ 38.Kh1 Qe1+ 39.Kh2 Ng4+ 40.hxg4 Qh4+ 41.Kg1 Qe1+ 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Nc3 Bb4 5.cxd5 exd5 6.Bf4 Ne4 7.Rc1 Nd7 8.Nd2 Nxc3 9.bxc3 Ba3 10.Rb1 Nb6 11.e3 Bf5 12.Rb3 Bd6 13.Bg3 O-O 14.Nf3 c5 15.dxc5 Bxc5 16.Bd3 Be4 17.O-O Qe7 18.Qb1 Rac8 19.Rd1 Rfd8 20.Bh4 f6 21.Bg3 Bxd3 22.Rxd3 Qe4 23.Nd2 Qf5 24.h4 Re8 25.Rb5 Qg6 26.Bf4 Bf8 27.Ra5 a6 28.e4 Nc4 29.Raxd5 Nxd2 30.Bxd2 Qxe4 31.R5d4 Qe6 32.Qxb7 Qxa2 33.h5 Qf7 34.Qf3 h6 35.Rd7 Qe6 36.Qg3 Qf5 37.Qg6 Qxg6 38.hxg6 Ra8 39.R3d4 f5 40.c4 a5 41.R4d5 a4 42.Bc3 a3 43.Rxf5 a2 44.Rxf8+ Kxf8 45.Rf7+ Kg8 46.Rxg7+ 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.c4 g6 2.e4 e5 3.Nc3 Bg7 4.g3 d6 5.Nge2 c5 6.d3 Nc6 7.Bg2 Nge7 8.a3 Nd4 9.b4 Bg4 10.h3 Bxe2 11.Nxe2 Nxe2 12.Qxe2 Nc6 13.Rb1 b6 14.O-O O-O 15.Be3 Rc8 16.Qd2 Rc7 17.Kh1 Kh8 18.Rb2 f5 19.Rbb1 Nd4 20.Bxd4 cxd4 21.exf5 gxf5 22.Bd5 Qe8 23.b5 Re7 24.Rbe1 e4 25.f4 exf3 26.Rxe7 Qxe7 27.Rxf3 Be5 28.a4 Qg7 29.Qf2 Rf6 30.Rxf5 Bxg3 31.Qf3 Be5 32.Be6 Rxf5 33.Bxf5 Qg5 34.Be4 Kg7 35.Qg4 Qxg4 36.hxg4 h6 37.Kg2 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 c5 2.Nf3 d6 3.Bb5+ Nd7 4.O-O a6 5.Bd3 Ngf6 6.Re1 e6 7.c3 b5 8.Bc2 c4 9.a4 Bb7 10.axb5 axb5 11.Rxa8 Bxa8 12.d4 cxd3 13.Qxd3 Qb8 14.Na3 b4 15.cxb4 Qxb4 16.Nb5 Bxe4 17.Nc7+ Kd8 18.Qe2 Kxc7 19.Bd2 Qb7 20.Ba5+ Kb8 21.Bxe4 Nxe4 22.Qxe4 Qxe4 23.Rxe4 d5 24.Re3 Bc5 25.Rb3+ Ka7 26.Ng5 Ne5 27.Bc3 d4 28.Be1 h6 29.Ne4 Be7 30.f4 Nc6 31.Kf1 Rb8 32.Rxb8 Kxb8 33.Ke2 Kc7 34.Kd3 f5 35.Nd2 Kd6 36.Kc4 Bf6 37.Nf3 g5 38.g3 g4 39.Nd2 e5 40.b4 e4 41.Nb3 d3 42.b5 Nd8 43.Bb4+ Kd7 44.Kd5 Nb7 45.Bd2 Kc7 46.Be3 Kd7 47.b6 Be7 48.Nd2 Bb4 49.Nc4 Bc3 50.Ne5+ Bxe5 51.fxe5 Nd8 52.e6+ Nxe6 53.b7 Nc7+ 54.Ke5 Na6 55.Kxf5 Kc7 56.Kxe4 Nc5+ 57.Kd4 Nxb7 58.Kxd3 Kd6 59.Ke4 h5 60.Kf5 Kd5 61.Bf4 Nc5 62.Kg5 Ke4 63.Kxh5 Kf3 64.Kh4 Ne4 65.h3 gxh3 66.Kxh3 Nxg3 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.g3 Bb4 5.Nd5 a5 6.Bg2 O-O 7.O-O Re8 8.d3 Nxd5 9.cxd5 Nd4 10.Nxd4 exd4 11.e4 c6 12.Bf4 cxd5 13.a3 Bc5 14.b4 Bf8 15.exd5 d6 16.bxa5 Qxa5 17.Bd2 Qa6 18.Qf3 g6 19.Bb4 Bf5 20.Rad1 Re5 21.g4 Bd7 22.Qf4 h5 23.h3 hxg4 24.hxg4 Qb6 25.Bf3 Ba4 26.Rc1 Bg7 27.Kg2 Bb3 28.Rh1 Bxd5 29.Bxd5 Rxd5 30.Rh3 Qd8 31.Qf3 Rb5 32.Qg3 Qg5 33.Rc7 Rd8 34.Rh1 Qd5+ 35.Qf3 Qxf3+ 36.Kxf3 d5 37.Rhc1 Be5 38.Rc8 Rxc8 39.Rxc8+ Kg7 40.g5 f6 41.Re8 Rb6 42.Re7+ Kg8 43.Kg4 f5+ 44.Kf3 Bh2 45.Rd7 Rb5 46.Bd6 Bxd6 47.Rxd6 Rb3 48.Rxg6+ Kh7 49.Rh6+ Kg7 50.Kf4 Rxd3 51.a4 Rc3 52.Rd6 Rc5 53.Rd7+ Kg6 54.Rxb7 Rc6 55.a5 d3 56.Ke3 Rc5 57.f4 d2 58.Kxd2 Rxa5 59.Rd7 Kh5 60.Ke3 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.a4 e5 7.Nf3 Be7 8.Bc4 O-O 9.O-O Be6 10.Bxe6 fxe6 11.a5 Nc6 12.Be3 Qd7 13.Re1 Rae8 14.Bb6 Bd8 15.Na4 Nxa5 16.Nc5 dxc5 17.Qxd7 Nxd7 18.Bxa5 Bxa5 19.Rxa5 Rc8 20.Kf1 h6 21.Rd1 Rc7 22.Rd6 Re8 23.Ra1 Kf8 24.h4 Ke7 25.Rad1 Rf8 26.R6d2 Rf4 27.Re1 c4 28.Re3 Rf8 29.h5 Rfc8 30.c3 b5 31.Nh4 Nf8 32.Rg3 Kf7 33.Ng6 Nxg6 34.Rxg6 a5 35.Rd6 Re7 36.Rb6 Rc5 37.Ke2 a4 38.f3 Rcc7 39.Kd2 Ra7 40.Rxb5 Reb7 41.Rxb7+ Rxb7 42.Kc2 Ra7 43.g4 a3 44.bxa3 Rxa3 45.g5 hxg5 46.Rxg5 Kf6 47.Rg6+ Kf7 48.Rg5 Kf6 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Nc3 Be7 5.Bg5 h6 6.Bh4 O-O 7.e3 Ne4 8.Bxe7 Qxe7 9.Rc1 c6 10.Be2 Nxc3 11.Rxc3 dxc4 12.Rxc4 Nd7 13.O-O e5 14.Qc2 exd4 15.Nxd4 Nb6 16.Rc5 Nd7 17.Ra5 Nf6 18.Rc1 Bg4 19.Bf1 Bd7 20.Nf3 Bg4 21.Nd4 Bd7 22.Nf3 Bg4 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.Nf3 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 O-O 5.d4 c6 6.Be2 d5 7.e5 Ne4 8.O-O Nxc3 9.bxc3 dxc4 10.Bxc4 c5 11.Be3 Nc6 12.Ng5 Na5 13.Bd3 cxd4 14.cxd4 h6 15.Ne4 f5 16.exf6 exf6 17.Nd2 f5 18.Nf3 Be6 19.Re1 Bd5 20.Bf4 Nc6 21.Ne5 g5 22.Nxc6 Bxc6 23.Bc4+ Bd5 24.Qb3 Bxc4 25.Qxc4+ Rf7 26.Be5 Rc8 27.Qa4 a6 28.Qb3 Qa5 29.h4 Qc3 30.Qe6 Qc6 31.Qb3 Qc3 32.Qe6 Qc6 33.Bxg7 Qxe6 34.Rxe6 Kxg7 35.hxg5 hxg5 36.d5 Rd8 37.Rd1 Rfd7 38.Rb6 Rxd5 39.Rxb7+ Kf8 40.Re1 Rd1 41.Kf1 Rxe1+ 42.Kxe1 Rd4 43.Rb6 Ra4 44.Rf6+ Kg7 45.Rxf5 Kg6 46.Rc5 Rxa2 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.Nf3 d5 2.g3 Nc6 3.d4 Bf5 4.Bg2 e6 5.O-O Nf6 6.c4 Be7 7.Nc3 Ne4 8.cxd5 exd5 9.Bf4 Nxc3 10.bxc3 Na5 11.Ne5 O-O 12.Re1 Bd6 13.e4 Bxe4 14.Bxe4 dxe4 15.Rxe4 Bxe5 16.Bxe5 f6 17.Bf4 Qd7 18.Qe2 Rae8 19.Re1 Rxe4 20.Qxe4 c6 21.h4 Nc4 22.h5 b5 23.h6 g5 24.Bc1 Qd5 25.Qe7 Rf7 26.Qe8+ Rf8 27.Qe7 Rf7 28.Qe2 a5 29.Qg4 Qd7 30.Qf3 Re7 31.Rxe7 Qxe7 32.Qxc6 Kf7 33.Qxb5 Qe1+ 34.Kg2 Qe4+ 35.Kg1 Qe1+ 36.Kg2 Qe4+ 37.Kh2 Qe2 38.Kg1 Qe1+ 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.Be3 Be7 10.c3 O-O 11.Nbd2 Qd7 12.Re1 f5 13.exf6 Nxf6 14.Bc2 Bf5 15.Bxf5 Qxf5 16.Nf1 Ne4 17.Ng3 Nxg3 18.hxg3 Rad8 19.a4 b4 20.Qe2 bxc3 21.bxc3 Qc8 22.Rad1 Bf6 23.Bg5 h6 24.Qe6+ Qxe6 25.Rxe6 hxg5 26.Rxc6 Rde8 27.Rxc7 Re4 28.a5 g4 29.Nd4 Bxd4 30.Rxd4 Re1+ 31.Kh2 Rxf2 32.Rxg4 Rf7 33.Rc8+ Rf8 34.Rxf8+ Kxf8 35.Rg6 Rc1 36.Rxa6 Rxc3 37.Rd6 
